beta,sigma,theta1,theta2
5.168113,4.566011,3.817979,1.319165
1.288007,1.657445,1.330162,1.469463
1.780306,1.273207,1.444897,1.832154
1.389345,1.336498,1.457991,1.304348
1.351747,1.650730,1.652355,2.901907
2.366978,1.832965,1.541369,1.290621
1.442291,1.355918,1.576150,1.417697
1.069826,2.292942,3.775163,2.180350
1.588654,2.290749,1.428557,1.505123
1.493445,1.408501,1.476964,1.962205
1.257762,1.895005,1.412065,1.638303
2.866044,1.337477,1.517814,1.642801
1.596663,1.406620,1.486690,1.429859
1.322003,1.640120,1.321363,1.271056
1.336230,1.585083,1.876420,1.978138
1.460236,1.653887,1.685368,1.311202
1.310938,1.412470,1.406782,1.812319
1.491689,1.268599,1.447165,1.292582
1.484520,1.340070,1.371342,1.563630
1.436954,1.906926,1.473955,1.462745
2.000282,1.457088,1.468711,1.526683
1.410965,1.410766,2.356862,1.636359
1.392644,1.983154,1.695010,1.516071
1.405541,1.492413,1.465656,1.444445
1.410596,1.806433,1.545172,1.356276
3.380810,4.672138,6.028881,4.176492
4.273278,3.814768,5.977719,15.125002
1.344822,1.333887,1.336152,1.339309
1.355079,1.345830,1.330014,1.461067
1.348231,1.324529,1.321694,1.366370
1.339746,1.346242,1.334477,1.434146
1.524173,1.348540,1.319880,1.365702
1.360943,1.348345,1.357167,1.309169
1.288596,1.355405,1.335199,1.327298
1.677028,1.339497,1.336943,18.930696
12.105110,21.457801,4.774115,3.585840
1.341885,1.338617,1.339537,2.993061
2.194237,1.413859,2.434686,1.403598
2.343755,4.131196,5.311610,1.393264
2.266099,1.368041,1.441455,2.804910
1.268599,1.271623,1.340567,1.799187
1.574363,1.316521,1.428355,1.435646
1.485536,1.567029,2.134397,1.081387
2.187474,6.168216,5.848534,8.926982
5.081706,11.349556,7.327753,7.276730
7.647707,1.680109,1.340242,1.441808
13.590138,15.862045,12.690654,11.994320
13.630695,8.017868,2.268182,3.513655
2.778077,2.990949,1.308797,1.346662
1.457676,1.402275,1.702033,1.607561
1.579916,1.273433,1.473702,1.390190
1.392574,1.597034,1.514335,1.758792
1.361595,1.357514,1.735658,2.312424
1.089849,2.065862,2.099532,1.350941
2.278534,5.291284,3.520515,1.873273
2.528958,1.550639,2.098848,1.239967
1.601337,1.846566,2.005236,1.559793
1.479863,1.623932,2.114311,1.278148
1.752317,1.988413,1.557501,1.461454
1.337946,1.437557,1.279792,1.329651
1.564602,2.118173,1.486934,1.427398
1.917057,2.645655,2.984152,2.928695
1.368020,1.818769,1.883206,0.884709
1.196959,1.772067,1.300058,1.345582
1.451718,1.754140,1.244948,2.142680
1.339482,1.519956,1.714956,2.620831
6.357674,4.661984,2.553321,1.334453
1.421876,1.306194,1.530298,1.337681
1.304092,1.706381,2.007039,3.295620
3.030713,3.743467,2.042376,1.126738
1.669805,1.485969,1.474056,1.402166
1.476526,1.778152,1.288069,1.269417
1.637105,1.600984,1.648135,1.341854
1.340759,1.268599,1.418589,2.033573
1.574559,1.501123,1.498995,1.672706
1.268599,1.422651,1.658363,1.364127
1.716157,1.648843,1.530743,1.447868
3.355704,1.332617,1.350322,1.464199
1.449014,1.760076,2.253293,1.441377
1.476137,1.642356,2.175479,0.998504
1.780215,1.305944,1.522753,1.351018
2.453150,2.052619,1.294100,1.322002
1.344040,1.341687,1.363464,1.316178
2.098413,1.422944,1.429794,1.723294
2.057782,1.880581,3.293633,3.030018
2.421179,2.177897,1.451749,1.612960
1.268833,1.444900,1.277389,1.659686
1.234689,1.548213,1.616929,1.571397
1.420245,2.084158,1.863894,1.427439
1.415231,1.301266,4.088522,2.581226
1.422087,1.808832,2.030786,2.158749
2.256449,1.392720,1.663263,1.633491
1.652208,1.354961,1.914801,3.703350
2.392035,2.775411,1.807666,1.329087
1.536096,3.405582,1.478147,1.292957
2.043394,1.894358,2.004308,1.110526
2.438120,3.197682,1.541160,1.493757
1.430337,1.793113,1.416190,1.340816
1.478670,1.303098,1.344165,2.205057
1.734941,4.829628,3.717730,4.781106
2.269478,1.396244,1.349456,1.057820
2.506356,1.628894,3.774402,1.798829
1.759072,1.400842,1.404570,1.468943
1.662801,1.847009,1.178039,1.188953
1.505850,1.652614,2.289076,1.698808
2.438893,1.708201,0.866156,1.716823
1.530976,1.549167,1.779516,2.296530
3.173586,1.781241,1.486646,1.329762
1.304301,1.813742,2.432277,1.340602
1.319502,1.455922,4.731854,11.370808
8.729202,3.401484,2.024454,1.677452
2.361808,1.333918,2.477861,1.337844
1.296044,1.486459,1.898616,1.444103
1.425031,1.436482,1.377158,1.584517
1.329186,1.608085,1.288279,1.967717
1.421028,1.365557,1.353038,1.342446
1.283302,1.542758,1.400976,1.607103
2.074573,1.651022,1.340087,1.279023
1.472636,1.294491,1.579231,1.326453
1.285378,1.440423,1.303256,1.415530
1.397875,1.904543,1.775963,1.316006
1.580087,1.331795,1.323715,1.353210
1.282075,1.382422,1.324305,1.270555
4.696377,2.508091,3.450404,3.274530
2.544646,2.266368,1.325289,1.630900
1.355544,1.373489,1.364750,1.336032
1.353731,1.512602,1.342266,1.336674
1.291167,1.348927,1.334580,1.339699
1.350592,1.331179,1.353712,2.532246
2.100493,1.464119,1.334975,1.493086
1.320095,1.349999,1.348596,1.369416
1.321046,1.369680,1.405829,1.351635
2.270456,1.334219,1.339682,1.319239
1.365793,1.315390,1.364948,1.447375
1.592291,1.711317,1.764328,2.235749
1.711643,17.973263,11.981810,2.259045
1.337559,2.926497,6.187220,6.581836
4.661147,2.344206,2.952486,2.328339
1.494095,2.386528,4.521273,4.825927
4.051054,2.278625,1.498578,1.526287
1.461148,1.433597,1.654424,2.017096
1.379495,1.365221,1.751636,1.343577
1.493696,1.470232,1.430726,1.397102
1.133082,1.301599,1.766663,1.547194
1.390188,1.506350,1.816024,1.494735
1.276259,1.280057,2.247284,3.199733
2.064146,2.115718,4.684484,3.708849
3.569941,3.751182,1.300019,1.347569
1.334033,1.415134,1.433164,5.049533
7.958226,4.580495,8.815857,8.330432
2.502759,1.285032,1.357473,7.815240
1.328466,1.342660,1.328850,1.676778
1.493769,1.408758,1.310663,1.334921
1.348967,1.354754,1.339328,1.348321
2.258036,2.742057,0.735369,1.021650
1.319886,1.279133,1.489366,1.294939
1.338053,1.738768,1.482754,1.387830
1.899783,1.862967,1.297423,1.422730
1.363759,2.003252,1.433129,2.075460
1.366686,1.382962,1.028024,1.403409
1.311813,1.437955,1.283120,2.387445
1.326362,1.356275,1.561416,1.367053
1.429344,1.353993,1.356205,1.992790
3.575020,3.198136,3.724197,2.756808
3.530610,3.611649,1.374313,1.328749
1.307396,1.340127,1.367365,1.350900
1.364687,1.313936,1.371147,1.269783
1.300983,1.268600,1.421574,1.441069
1.336593,1.487665,1.464914,1.692184
1.338085,1.655233,1.340194,1.334983
1.415727,1.331719,1.736194,1.602896
1.345259,2.621043,1.436745,1.281253
1.402567,1.596436,1.302244,1.268712
1.403283,1.378491,1.619468,1.554943
2.014027,1.416227,1.351320,2.074747
2.206701,1.693822,1.695391,1.464778
1.466236,1.281383,1.354393,1.667676
0.899136,1.431557,1.324823,2.206923
1.586999,1.795557,1.583095,1.588496
1.282562,1.567025,2.104937,1.301355
1.589239,1.027358,1.212628,2.661086
2.298418,1.666417,1.472447,1.593711
3.526737,1.577553,2.427063,6.143103
2.895957,1.442013,1.461503,1.692430
1.605632,1.401623,1.591044,1.329340
1.301369,1.301226,1.533690,1.481269
1.473039,1.427818,1.668957,1.404055
1.785539,1.648133,2.028969,1.441275
1.401322,1.776697,1.283248,1.615369
1.350104,1.516266,1.437399,1.283809
1.540128,1.454175,1.462256,1.466505
1.432643,1.313226,1.519596,1.428210
1.569748,1.349533,1.332749,5.463011
6.383723,4.119523,2.101053,4.592837
8.568397,8.358977,10.372407,11.076841
4.209524,1.342132,1.556904,1.572626
1.991090,4.700123,2.978270,5.581018
11.020335,14.323637,16.279642,15.202411
21.109778,19.797094,21.114744,11.075351
8.290346,5.001665,6.447518,8.100570
8.810145,3.742361,1.402788,1.382245
1.322122,1.308007,1.328612,1.379606
1.333435,2.258108,2.641062,1.344314
1.337657,1.341491,1.269031,5.812976
23.233518,13.039929,2.011660,1.329152
2.323668,1.426703,1.346137,1.365660
1.306358,1.390323,1.344277,1.366146
1.331824,1.344134,1.276356,1.335499
1.342920,4.253119,1.339726,1.337875
1.330318,1.419358,1.299196,1.465450
1.338782,1.352087,1.735240,1.411481
1.553455,1.490416,2.231752,1.927972
1.361904,1.356581,3.225241,2.265472
2.095817,1.977240,1.418759,1.368012
1.296422,1.677157,1.459209,1.522609
1.507658,1.473804,1.746343,1.111160
1.667698,2.112746,2.844571,3.273135
3.865139,1.329660,1.287993,1.432833
1.409951,3.215095,1.345673,1.337556
1.338741,1.624244,1.344920,1.271129
1.465830,1.397578,1.361213,2.014720
1.415910,1.184797,1.430378,1.410517
1.316812,2.035726,1.791006,1.475925
1.410063,4.516592,1.407048,1.338549
1.784266,1.321900,2.018562,1.320653
1.335569,1.396709,1.345119,1.301752
1.317027,2.029893,1.444227,2.117194
1.268696,1.388288,1.284325,1.366124
1.384430,1.428901,1.355877,3.174085
0.821517,1.360945,1.523261,1.959141
3.188302,1.762708,1.718242,2.122759
1.338606,1.826463,1.811169,1.788293
1.322644,1.276258,1.273965,1.418265
1.383846,1.341634,1.314699,1.444281
1.627989,1.540555,1.295318,1.532545
1.714098,1.509783,1.611052,1.530143
4.317989,4.006535,1.248828,3.578752
1.510319,1.361441,1.318437,1.320174
2.385308,3.531097,4.491649,2.067908
1.454083,1.448539,1.472982,1.432397
1.574352,1.829669,0.996645,1.002386
1.938156,2.019341,1.376641,1.585180
1.419000,1.358915,1.360120,1.788199
1.474088,1.394626,1.546677,2.194683
2.586242,5.044898,1.438278,1.324300
1.647399,1.432769,1.455902,1.470163
1.420403,1.434290,1.627946,2.137742
1.344910,1.664156,1.351228,2.203552
1.818853,2.502673,1.304028,1.292383
4.358790,1.931552,1.380535,1.521662
1.413096,2.378795,1.550251,1.637542
1.418993,3.174303,3.689498,2.456469
3.673677,4.153084,1.062596,1.320720
3.610369,2.352902,4.270734,1.019562
1.431653,1.269168,1.614053,1.303459
1.611004,2.370733,3.321690,2.595656
2.525357,2.708807,2.323891,3.201019
3.160278,1.335890,1.667444,5.867255
4.527825,6.850152,5.774847,3.660905
1.881025,1.380435,1.307637,1.424942
1.458431,1.447408,1.303673,1.343103
1.635110,1.381464,1.648192,1.629863
2.090299,1.361376,1.375917,1.394061
1.276881,1.479205,1.655611,1.491312
1.863201,1.777691,1.481473,1.413128
1.502455,1.607266,1.545470,1.754768
2.287531,1.831526,1.664157,1.509342
1.872108,1.284480,1.482495,1.474804
1.407061,1.324325,1.319769,1.509678
1.427424,1.479537,2.362113,3.195952
1.495228,1.440943,1.277466,1.908518
2.240146,3.806159,5.495507,1.731123
2.631680,5.826776,5.662111,3.875923
4.528395,3.505873,2.630770,1.615777
1.901451,1.420852,2.960047,1.617177
1.321055,1.322589,2.260778,2.306949
1.703199,1.319630,1.388271,1.711617
2.185673,1.831287,1.837539,2.558162
1.268599,1.499823,2.452033,1.415728
1.196832,1.563117,1.725456,1.684486
2.105311,2.416171,2.004180,2.014132
1.942438,1.109240,1.460474,1.513294
2.169140,2.312795,1.826093,2.550119
1.753850,1.310502,1.417939,2.525851
2.295713,1.440601,1.285415,1.515001
1.577413,1.603631,1.206071,1.482041
0.854210,3.647537,4.618901,1.490550
1.272901,1.430596,1.511465,3.000372
1.518005,1.330277,1.297866,1.519392
1.625943,1.445529,1.344120,2.210509
1.342943,1.443414,1.332853,1.309560
1.781393,1.832006,2.172495,2.057438
1.566421,3.583077,4.941519,3.584553
1.405650,1.365337,1.653314,1.271916
1.375060,1.346126,1.471108,1.356961
2.389410,1.469867,2.148903,1.246718
3.937849,2.044633,1.338363,1.983984
2.528905,1.325609,1.351912,1.340716
1.630475,2.079021,2.945979,1.326003
1.437616,1.342569,1.380088,1.423334
1.649200,1.886712,1.929298,1.403611
1.589022,4.209165,1.429309,1.271478
1.606568,1.623557,1.494586,1.278551
1.879539,1.303672,1.622135,2.298583
1.835552,1.321621,3.150426,2.271096
1.846831,1.370332,1.477889,1.750723
1.433603,1.432117,1.362612,1.588760
2.097220,1.825151,2.006277,1.281412
1.373884,1.409287,1.352428,2.537407
4.133926,1.639068,3.767888,1.421012
1.301967,1.296311,2.104708,1.716383
1.512568,1.357445,1.284406,1.454315
1.314616,1.424530,1.896723,1.743742
1.263565,1.568768,1.403267,1.686087
2.285689,2.100882,2.362786,1.787424
1.567891,1.773881,1.636934,1.819227
2.350493,1.807996,1.007318,1.457430
1.974508,1.593752,1.273509,1.386161
1.429268,1.495860,2.219994,2.136856
1.513000,1.306247,1.735546,2.337494
1.270317,1.268613,3.538207,4.975601
1.273792,1.529334,1.349903,1.906364
1.547141,1.818290,2.150593,1.162419
1.303596,1.317733,1.375683,1.338636
1.293260,1.435567,1.280619,2.224581
2.475830,4.206393,1.432168,1.304842
2.041519,1.678629,1.351282,1.378816
1.303835,1.453826,2.299172,1.522408
3.169109,1.824555,1.366918,1.424522
1.275077,1.377827,1.210230,1.384522
1.584380,1.529805,2.630306,1.421289
1.528068,1.458567,1.726524,1.512530
1.501955,1.536226,1.273727,1.470076
1.510896,1.615688,1.396989,1.441156
1.788176,1.464232,1.493001,1.728693
1.366101,1.847663,2.790090,1.424115
1.580697,1.805840,1.632649,1.456958
2.154908,1.269632,1.727036,1.692978
1.310821,1.485602,1.679833,1.413404
1.314818,2.110598,1.423756,2.120909
4.838247,3.358481,4.571361,6.963910
3.810985,2.082693,3.767798,2.381687
1.708013,1.848038,1.474263,2.081675
1.613902,2.049841,1.538072,1.425672
1.323918,1.293216,2.004111,2.916380
1.326056,2.554406,1.342735,1.319047
1.533850,1.684835,1.434103,1.487526
1.606950,1.802863,1.326286,1.433476
1.443090,1.442180,1.329639,2.049683
1.524872,1.478152,1.462534,1.409266
1.268599,1.361565,1.422813,1.610246
1.223426,1.863942,1.604865,0.922454
2.271369,1.498088,1.424815,2.660931
1.428765,1.470422,1.813137,1.791624
1.321410,1.418357,1.499440,1.506508
1.998173,1.420969,1.485031,1.396867
1.474760,1.772379,1.872982,2.680501
3.454807,1.308049,1.975562,1.611059
1.478458,1.212721,1.403405,2.958077
4.689954,4.758829,1.507914,1.497817
1.315636,1.345046,1.737301,1.318182
5.469900,1.377152,1.073593,2.190438
2.770680,2.664546,2.552131,1.306332
1.377427,1.339909,1.336164,1.355401
1.362551,1.343012,1.326626,1.353700
1.339698,1.414184,1.876450,1.271150
1.410852,1.467586,1.785408,3.225987
1.652703,1.352545,1.417530,1.268603
1.628983,3.988676,1.334621,1.359688
1.555172,1.463232,1.351411,1.347685
7.468804,1.611665,1.743767,1.351995
1.332928,1.486602,1.348357,1.470936
1.555940,1.498265,1.335527,1.432553
5.019444,1.359792,1.381332,1.568581
1.476875,1.582382,2.390079,1.329572
2.627673,2.199234,1.507157,1.659440
1.163607,1.931879,2.907011,1.529237
1.429419,1.386005,1.754718,1.277757
1.521392,1.332463,1.582352,2.142455
2.484158,4.946770,6.856914,4.229105
6.416280,9.158966,12.219393,3.840881
1.344544,1.687487,1.681884,2.104817
1.342806,1.343671,1.347699,1.268600
1.359561,1.330962,1.326764,1.326471
2.665063,1.375164,2.260191,2.499660
2.385360,3.633584,2.675417,1.627000
1.422780,1.519024,1.433944,1.407510
1.500876,1.503575,1.418550,1.466991
2.841069,1.364934,1.407609,2.130421
2.895101,2.592012,2.589468,4.087607
2.566824,2.299069,1.681321,1.272385
1.570568,1.460014,1.882231,1.488055
1.646827,3.205762,10.737551,8.205811
9.815869,3.095491,1.341621,1.373827
1.597195,1.431069,1.347850,1.938499
1.743814,1.486927,1.278911,1.913008
1.543683,1.588302,2.393625,1.123284
1.280842,1.591591,1.397675,1.645041
1.463574,1.514836,1.677053,1.414168
1.274162,1.740550,1.504643,1.808292
1.320987,1.303096,1.438173,1.349538
2.015329,1.268601,1.268708,1.275785
1.648300,1.520104,2.437114,3.933500
6.432156,4.476817,3.189069,2.294618
2.188480,1.338266,1.395484,1.537855
1.400014,1.337603,1.573674,1.441894
1.576673,1.581011,1.802731,1.486671
3.534824,2.128294,1.477248,1.261076
1.519380,1.435985,1.813515,1.338055
2.685060,1.676008,1.511393,3.838355
2.782651,3.589247,1.340179,9.688083
8.459773,7.782610,2.512797,4.161698
1.423500,1.923437,1.618353,2.644864
1.544740,1.310125,2.703077,3.353143
4.499018,1.685010,1.361791,1.661553
1.438847,1.551094,1.669070,1.432560
1.435133,1.418221,1.471252,1.335732
1.920620,2.316920,1.987772,1.341443
1.336922,1.375537,1.331904,1.273949
1.397448,1.709849,1.364495,1.328588
1.326252,2.943666,7.880817,5.337050
3.452000,3.111250,4.348427,3.511432
1.331267,4.487646,2.620126,1.946042
1.386697,3.828970,1.339790,1.339583
1.655041,1.340827,1.515061,1.449877
1.337905,1.704436,6.352630,4.362833
7.746490,6.601721,1.954789,5.652579
1.268599,1.322440,2.003897,1.522417
1.422080,1.339417,1.340731,1.342938
1.346016,1.369485,1.339362,1.333548
1.348996,1.409375,1.515541,1.903344
1.326718,1.331251,1.331084,1.342746
1.362039,1.351858,1.401004,1.348028
1.328620,2.238084,1.959319,1.840284
2.081207,2.006758,2.221180,1.369796
1.330657,1.793179,1.545868,2.385154
4.571183,4.623104,3.970747,2.764748
2.859199,2.125269,3.668014,1.389356
1.334218,1.303031,1.322542,2.796305
1.404044,1.371921,1.342637,3.556867
2.075991,4.775817,3.451412,1.320066
1.313943,2.028308,2.229149,1.964362
2.013465,1.339588,1.336946,1.602477
1.871092,2.030298,1.359386,1.270466
1.547458,4.469747,3.346302,4.286088
2.402464,4.386611,3.213030,1.295570
1.316783,1.317872,1.343740,1.675515
1.100320,1.750837,1.384880,1.542329
1.268603,2.860047,1.637104,1.359876
1.272873,1.431616,1.567419,1.482877
1.727764,1.284770,1.505616,1.335259
1.286244,1.831746,1.763452,1.551509
4.065777,1.903951,2.249618,3.223503
3.295198,3.668826,4.558229,3.981326
6.437177,1.453218,1.323788,2.422052
1.616651,1.302946,1.273850,1.513531
1.423665,1.597510,1.829310,2.264961
2.185347,3.780903,1.704169,1.357778
1.538606,1.832102,1.810330,1.900117
1.452423,1.315269,2.422304,1.873126
1.565138,2.263133,1.543389,1.476425
1.352898,2.087988,1.801421,1.396035
2.510021,1.403991,1.634621,1.591246
1.324271,1.289181,1.842493,1.804763
1.137649,1.373528,2.141799,1.568738
1.526983,1.807669,1.726567,1.517186
1.340831,1.466765,1.622948,1.425054
1.380283,1.345139,1.386790,1.334332
1.395385,1.306528,1.331791,1.408635
1.523138,6.706506,1.399408,1.513885
1.284690,1.649047,1.309788,1.354368
1.996609,1.369471,1.332814,1.356776
1.325532,1.274763,1.331133,3.041488
4.678011,3.197416,1.669553,1.357412
1.368683,1.357403,1.758009,1.354174
1.488117,1.283469,1.379509,1.644577
1.309336,1.269262,1.439918,1.451554
1.460797,1.515154,1.382461,1.427811
1.512438,1.618061,1.292226,1.343783
1.296574,1.503807,2.416903,2.036994
1.470103,1.322759,1.673708,1.387631
1.837752,1.468368,1.269402,1.406309
1.940080,3.261861,2.339800,2.282509
1.892977,1.421188,1.340053,2.683620
5.392498,4.550614,4.032517,7.975623
5.498184,4.545746,1.514021,1.328396
1.291386,1.344001,1.315433,1.339838
1.466630,2.377713,2.214448,1.774671
1.555588,1.503657,1.475776,1.599017
1.429268,1.427869,1.573476,1.596615
1.643956,1.775343,1.470605,1.623203
4.061897,3.636267,3.317418,1.284698
1.316606,1.343188,1.306287,1.822044
1.570762,1.327100,2.945429,2.628314
1.388831,1.440176,2.196863,1.450207
1.298716,2.517899,1.382793,1.488620
1.357299,1.640851,1.329806,2.109028
1.590114,7.230314,1.398881,4.392267
3.134089,1.530508,1.512568,1.341392
1.443598,1.357421,1.332721,1.350534
1.317943,1.435406,2.180407,1.431386
1.294870,1.358634,1.337979,1.323601
1.376662,1.290019,1.504127,1.323656
1.407777,1.587605,1.269201,1.474170
1.316904,1.498354,1.298409,1.481989
2.824667,1.695192,1.446305,1.298340
1.625702,1.379066,2.056084,3.345585
2.676767,2.280237,2.414222,1.693853
0.914092,2.314429,1.813889,1.414166
1.750424,1.728324,1.440560,1.403985
1.792785,1.496127,1.544941,1.653264
2.192618,1.589436,2.648923,2.706559
2.737750,1.188894,2.985871,1.740858
1.407618,1.363272,1.680359,1.684147
1.077326,1.653184,1.297545,1.291363
2.174089,1.633516,1.916553,1.580274
1.642304,1.824678,4.055891,4.996881
4.212787,1.428169,17.426141,17.705402
25.378105,11.103934,1.411762,1.323638
1.347483,1.365139,1.364554,5.159873
1.327111,1.325847,1.502268,1.333632
1.345494,1.423102,1.305931,1.278879
1.731572,1.440439,1.903394,1.591525
1.404213,1.402628,1.342392,1.574233
2.286734,1.559692,1.629468,2.184881
1.487443,1.710213,2.194218,2.299822
1.488436,1.569653,1.638437,1.490620
1.637764,1.321664,1.658737,1.924935
1.367808,1.303907,1.333981,1.321925
3.589779,3.813921,2.525248,2.687800
1.795536,1.447123,1.562258,1.320209
1.393456,1.478426,1.268601,1.430052
1.640442,1.342857,1.349871,1.449265
1.518764,1.434629,1.999843,1.590771
1.660508,1.403061,1.550645,1.611769
1.544433,1.427537,1.550934,1.423008
1.268599,1.278056,3.268914,2.654370
1.618750,1.868046,1.494981,1.570098
1.636824,2.286670,1.279032,1.289410
1.445425,1.329426,1.351273,2.651996
2.565368,0.940331,1.068064,1.445497
1.338166,1.315196,1.317194,1.620787
3.093878,2.140751,4.514701,4.670967
3.657509,3.051914,1.374614,1.308216
1.322445,1.270210,1.347537,1.297866
1.301893,1.349114,1.335040,2.524881
1.394290,1.883008,2.506564,1.326687
2.191589,1.546914,1.752281,1.418823
1.549150,1.498770,1.653324,2.047319
1.875511,1.447130,1.463621,1.440673
1.575452,2.251046,2.097228,3.713583
4.187014,1.583049,1.520758,1.411134
